Property1,Property2,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
0.817,yes,2.22,0.888888889,1.973333334,2.532,1.63,0.459259259,0.748592592,1.986,1.274924471,0.59,1.935483871,0.901
0.896,yes,2.22,0.888888889,1.973333334,2.532,1.89,0.477777778,0.903,2.016,1.255952381,0.33,1.860465116,0.888
0.871,yes,2.22,0.888888889,1.973333334,2.532,1.53,0.444444444,0.679999999,2.006,1.26221336,0.69,2,0.892
1.085,yes,2.22,0.888888889,1.973333334,2.532,2.08,0.551851852,1.147851852,2.105,1.202850356,0.14,1.610738255,0.85
0.969,yes,2.22,0.888888889,1.973333334,2.532,1.9,0.496296296,0.942962962,2.047,1.236932096,0.32,1.791044776,0.874
0.853,yes,2.22,0.888888889,1.973333334,2.532,1.81,0.474074074,0.858074074,1.999,1.266633317,0.41,1.875,0.895
0.595,no,1.79,0.785111111,1.405348889,2.367,1.43,0.392592593,0.561407408,1.898,1.247102213,0.36,1.999811321,0.882
0.688,no,1.79,0.785111111,1.405348889,2.367,0.89,0.37037037,0.329629629,1.961,1.207037226,0.9,2.1198,0.853
0.371,no,1.79,0.785111111,1.405348889,2.367,1.54,0.296296296,0.456296296,1.79,1.322346369,0.25,2.64975,0.935
0.792,no,1.79,0.785111111,1.405348889,2.367,1.48,0.511111111,0.756444444,2.055,1.151824818,0.31,1.536086957,0.814
0.85,no,1.79,0.785111111,1.405348889,2.367,1.34,0.718518519,0.962814815,2.127,1.112834979,0.45,1.092680412,0.787
0.694,no,1.79,0.785111111,1.405348889,2.367,1.9,0.448148148,0.851481481,1.965,1.204580153,0.11,1.751900826,0.852
